Features,Label
"Ableism absolutely is a problem. And it is a shame, because there are a lot of people who would make excellent, intelligent, and empathic healthcare providers if training programs were accessible and just more humane. I think privilege is an issue as well, and that's something that isn't necessarily discussed and it's something we can be completely unaware of despite good intentions. We can say ""I'm not biased!"" while being ignorant of privilege. In my own case, when I was pregnant in grad school, the linguistics and anthropology departments I was in worked closely with some of the med school professors (20+ years ago they were trying to design ""virtual patients"" for the med school, and there were MD/PhD programs in med anth and public health, as well). So I was introduced to my maternal-fetal medicine specialist by first name and treated collegially in a way that I had no idea wasn't normal--I had nothing to compare it to. Over a decade later, when I returned to grad school to focus more on bio anth/evolutionary medicine and related my story, which included teasing banter with the geneticist and sh!t like that, during a discussion of birth trauma, the professor basically jumped down my throat, and I was humbled--which was fine with me! I love learning new things, and I have no problem being wrong. But she basically used my experience as a jumping off point to talk about socioeconomic disparities to obstetric care, and lit my fuse as a social justice warrior. Some things we just don't see until someone points them out to us--and all the bias training in the world won't help us see our own privilege until we are open to seeing it. And I think that comes back to what you're saying about ableism. People who can pull 48 hour shifts-or can they? really?-may not realize that that is privilege, not the norm, not something to measure others by.",no
"I've worked in colorectal surgery for 10 years and have supported 5 surgeons to varying degrees over the years. 2 of them have been absolute delights and I could bet money on how they would manage their patients. 2 of them were a-holes, but again you'd be done with clinic by 3 pm and practiced reliably the same. 1 surgeon treated every patient uniquely, you could never anticipate what she would want, and she had a deep martyr complex. Depending on the other interactions she had that day, you may get cookies or you may get the silent treatment or maybe you get yelled at in front of a patient. I finally left the group for a non-surgical specialty and I have no clue what to expect bc my whole career I've been surrounded by surgeons.",yes
"No one knows everything about everything. If I have family in the room, I always bring my computer with me so I have access to the patient chart as well as up to date. If I look something up and I can't find it, I'll tell them let me get some more information about that and I'll let you know. Another of my favorite phrases is I don't want to give you incorrect info so let me double check and I'll get back to you.   The most important things are to be honest and to remember to come back and tell them what you've found out.",no
"I had a patient scream at the top of their lungs when I die, bury me upside down so the whole world can kiss my ass!",yes
Plenty of NPs equally smart as MDs yep. I don't blame you for looking for work life balance as an NP and I'm not questioning that you're probably a good clinician. But in no way in hell should a NP be paid the same as a Physician.,no
Give clear discharge instructions. Include what the patient needs to do and what they should come back to the ER for. I like knowing what your plan is for a the patient. If this doesn't get clearly communicated ideally in the discharge paperwork the nurse either has to clarify with you or figure out the DC instructions on their own which isn't ideal.,no
"No time for a phone call when you're 50 meters away lol. But that does remind me of my EMT days in Oakland back in the mid 2000s where we would call the ER from our Nokias and give them a heads up that we were coming in with a disaster-splash and they would be like, ""mm-hmm, mm-hmm, okay, click!"" And then we'd show up and watch the patient code on the gurney while the intake nurse asked me to spell their last name for the third time.",yes
"Someone I know is an ""herbalist"". She diagnosed ""acid wave"" in a patient who complained of vague abdominal cramping and early satiety. By the time this patient presented to the ED she had painless jaundice and extreme ascites. Hepatocellular carcinoma. 10L paracentesis removed. How is this legal?",yes
"Ask the more senior PAs what their salary trajectory has been like. If they have gotten good raises over time, then doing one year of lower income with good training would be an investment if time. If training is great, then consider it similar to a post grad training program with you having more responsibility to being a self starter as well as for patient care.",no
"This sounds like a big mess long before the liver came out. Can someone tell me what the real idea was for the surgery? Why didn't anyone anticipate the mega colon? The colon would be pretty obvious on pre-op X-rays. The abdomen would be distended. The picture I get, you slice open the abdomen and colon comes spilling out like party balloons. How do you see anything? Then you dissect out the wrong vessel and transect the IVC. The field immediately fills up with blood and the patient codes. You can't see anything, but now you are up to your elbows in distended colon swimming in a pit of blood. They are doing CPR. Everything is sloshing back and forth. You don't have enough suction to get ahead. Removing the liver is a post mortem event. You already killed the patient at the IVC laceration. Take out anything you want.",no
"He swore he'd never been told that. Had never taken water pills of any kind before. He had no diagnosis of CHF with our office previously -I'm attached to a larger pcp office so I had his PCPs chart also. I was kinda dumbfounded but from everything he told me, (always take that with a grain of salt) he stated my cardiologist told me my heart was fine and wasn't causing my SOB so I'm here to figure out what is causing it if it's not my heart, he thought he had pneumonia or something lung related. I know patients aren't always great historians but I felt like this was more than just him being forgetful considering how much history he gave me. I would love to know how the convo with his cardio went. I had him take his labs and xray with him. We're out in the boonies, so care is questionable sometimes, even with specialists who should know much more than I do.",yes
"Depends on the job. There are Psych positions with 0 physical demands. On the other end of the spectrum there is Ortho, but likely still not as high as paramedic. In the OR, you'll have to stand for several hours a day, help transfer patients, pull hard on retractors, etc. I'm in Ortho and I could probably do it until my goal retirement age of 62 considering there are surgeon operating into their 70s. However, I did have to start working out because of the demands of doing reductions and such. However, given you already have a 6 figure desk job with good benefits, I couldn't recommend you go back to PA school. Sure you can make a bit more money, but you'll be spending at least 100K for school, and losing 300-500K in your current wages and benefits while in PA school. I don't think you could catch up financially, and even if you could I don't think it's worth the effort.",no
Did you get a training period? If not I'd ask to be properly trained because you not knowing what you're doing (due to lack of support) is going to affect your patients. Either they train you or find a new job.,no
"Anyone who says they never made a mistake, they r either lying or dumb! An example of critical thinking is when u go back and review an event, see what went wrong and what can be improved upon. Most of the time you'll find out it's a combination of human error System error etc. The healthcare system has had these issues forever. When I worked in the hospital in the 90's, I can think of 4 examples of significant major errors that have changed the way we do things today. All is well, you're okay, the patient's okay, and move on LOL. The fact that you reported it means you're pretty outstanding!",no
"Male np here, this is asinine. If you want physician pay go to med school. ",no
"Well the general thought over this is, that the NP(s) in question haven't really thought through this, surprise. Let them give equal payment. Now which profession are hospitals/ clinics more likely to hire, physicians or midlevels, who can do less and who need more supervision?",no
"Don't write stupid shit like provide a sandwich on your ED orders - it's demeaning af. Find out where the pantry is and provide it yourself, call it building a patient-physician relationship. Don't put down an order sheet and then come back every 5 mins to add more. Collect your thoughts. We have 4+ other patients, we don't have time to stay with one patient with you while you tick off items in your plan of care one order at a time. 
 
 
 Respect your experienced nurses. Ask them their thoughts. Say things like so, how bad is it? How do they look what do you think about... Don't be afraid to share your thoughts, or how you would assess certain things. Everyone wants to learn and improve, especially emerg nurses. 
 
 
 Good luck :)",yes
"Everyone brings up drug prices, and while I think that's a fair focus, ridiculous drug prices tend to only affect certain new drugs/ older drugs which get a new indication and thus the companies opportunistically price gouge. We need to focus more on the fact Americans are being lied to that they can readily get care in general. I live in the Sacramento area, it's actually a happening place where a lot of people are moving, but a number of my patients can't get into a primary care physician for 3 months if they have Cadillac insurance, more if they have one of the many plans that have been dropped by most systems in my area. The state expanded Medicaid coverage massively last year, but both pcps and specialty offices aren't taking Medicaid for the most part other than already overburdened FQHCs. Kaiser got a nice cushy contract with the state to supply Medicaid coverage, but patients already in the Kaiser system already struggle to get in with their PCPs and if they need a specialist it's an added struggle. When I did locums last year I paid for kaiser. I was not able to get into a primary and kaiser refused to pay for my adhd medication because I didn't have a kaiser psychiatrist, which likely would have taken over a year to establish. I certainly felt like I was cheated out of thousands of dollars, paying a monthly premium for insurance and not even being able to access services, but I can't say i was particularly surprised. The public as a whole seems to be absolutely blindsided when they really need medical care and get turned away at every corner because there aren't enough doctors to take care of them and none of the hospitals in the area want to deal with their insurance.",yes
"I'm so sorry... No excuse for that treatment, none. I have a feeling you are an exceptional patient advocate and empathetic nurse. Please take care of yourself.",no
"Oh this is my biggest peeve. I have spent many years flight nursing and I can't tell you how many times my partner and I have arrived to find a tachycardic and tearful intubated patient because the nurse ""gave rocuronium because they wouldn't tolerate the tube"". Like what. A physician ordered a paralytic and a nurse was like oh yeah this is a great idea without fucking sedating a patient. I got to be known as the candyman, I medicated the shit out of everyone (appropriately medicated), I have zero issue with emptying my med box on a patient to make them comfortable. These fools would even start meds to control the hypertension and tachycardia, you know, because the patient was AWARE of literally everything but was paralyzed. There were so many other instances of major injuries and patients receiving one dose of a pain med hours before and nothing else, patients were often in tears or almost in tears when we arrived. For the love, medicate patients, there is nothing wrong with taking care of their pain and/or anxiety but there is something wrong with not taking care of it, SMDH.",yes
"What're the medical tropes you see that make you laugh or just get your goat? I've been binge-watching ""The Mentalist"" -- in one episode, he knows someone's not a doctor because their handwriting is legible, and, in another, IDs a victim as a doc by their crappy handwriting. And i felt called out.",no
"Male (former) ICU nurse with a large beard here. I think making assumptions about other people bodies, and what they want it to look like, is definitely a bad idea. Shaving largely a US/western practice. Many people see hair as a religious or cultural belief. Also, what families and other nurses like is irrelevant. What matters is the patient's preference. If you don't know what it is then I wouldn't impose my personal beliefs on them. Also, my wife would drop kick a nurse across the unit if someone shaved my beard. Ha",yes
"This hospital system is huge. It has many, many hospital campuses throughout the state, none of which are actually affected by the storm, just the community around this specific one. They are not hurting for money. They asked for volunteers to go 3 hours away to help work nights at this hospital. Lodging at the hospital included...meaning a shared conference room or something. (Obviously the hotels are full, that isn't the issue.) But to not offer crisis pay or incentive pay or anything beyond base pay?!? Maybe I'm just really selfish with my sleep (I have a hard time sleeping anywhere other than my bed, am effected my any noise or light, can't sleep with snoring, and will wake up easily and not get back to sleep. If I go, I won't sleep hardly and I can't work that many shifts in a row on no sleep and not kill myself or a patient. I was considering it anyways up to that point. May still if they are desperate). But I feel like this is just another little thing that is just piling up and up on all the shit we deal with as nurses. They tug on our heart strings, knowing we will help out of the goodness of your heart, that we don't want to abandon patients, even risking our own safety, our patients safety, allowing hospitals to get away with short staffing us and tripling us and making us take on more and more roles outside what we are nurses should be doing (housekeeping, secretary, phlebotomy, patient tech) with less and less resources!?! All while paying us shit, never giving us raises to reflect what we do more and more or matching cost of living, never giving us incentive pay, and guilting us into picking up extra shifts or extra roles to make up the slack! Maybe I'm just tired on very little sleep and going through post-vacation depression and hurting for everyone affected while happy my area was spared, and getting seriosuly burnt out after 4 years of this shit. Maybe I'm wrong to be mad about no extra pay, that this specific siuation is greater than that and my opinions about my hospital system and my lack of sleep lately are clouding my judgement. Just needed to get it off my chest and see what others feel like.",yes
"Hard to say but it's 6-12 months to start feeling some confidence in EM. That said the missing ingredient here is time spent in the main ER which is why I am always a little skeptical of UC or fast track jobs when starting out. You should be able to identify a sick patient hopefully after graduation, but identifying subtle presentations of other serious pathology takes time and if you aren't getting that exposure to these types of patients on the regular it can be stressful when starting out. Pathology can be sneaky and these patients will absolutely find there way into FT from time to time    I would really clarify what it means to have support from an MD in main ER, because 99% of the time this means that there will be a very busy doc working with acuity and won't have time or doesn't really want to be bothered to review cases with you. Maybe ask some of the other PAs who have been there for awhile what this actually looks like and then make your decision.",no
"My first job was inpatient cardiology out of school. I didn't know anything when i started. Now being one year into the job, I am much more confident than I was. I think that's how you feel for any job out of school, regardless of specialty. You're talking about going to outpatient, I've now transitioned into an inpatient AND outpatient role for cardiology. I can say I would not be half the provider I am in the outpatient setting if it wasn't for my experience while inpatient. You learn the most in the hospital setting. I would recommend staying in this job unless it is detrimental to your mental well being. A first job in cardiology is hard, but it gives you an extremely solid foundation for the rest of your career once you get your feet under you",no
"The pacu and floor nurses afterwards marking the patient off the list ""yup, knew he wasn't come back to us by cancellation or otherwise"" I didn't see nothing this bad in the OR during covid, but we saw some wild things and I totally can visualize in my head how this entire circus went down.",yes
"I worked with this one psych nurse who's known for working 6 12s (night shift), like back to back, She's very pleasant. I was trying to get to know her, She then hit me out of nowhere with the first dark humor i've heard in this field, She said it better, but it went along the lines of, *I used to work in med-surg, but I honestly couldn't take it anymore. My patients deaths were just taking a huge toll on me. So I switched to psych. At least in this field it isn't us killing the patients*. Mind you, my jaw dropped and no she has never killed or harmed any patient in med-surg. She just meant with the code blues and stuff, and sometimes them not being successful with trying to resuscitate the patient,",yes
"Ok. As a medical doctor, if I ever had to go through alcohol withdrawal, I would not want it to be managed by a psychiatrist. It warrants medical supervision. Of course there is some mild withdrawal that can be managed in an outpatient setting, but if it makes you sick enough to be in a hospital, you should be in a medical unit and may even require telemetry.",no
"If he was an organ donor then why was he even sent to the morgue? We keep ours, as we are supposed to, on the vent until they get into surgery to remove the organs otherwise you risk rapid cell death in those organs. Especially, too, if holding the patient for family. They should've been able to walk to the surgical suite doors with their loved one. I've never seen an organ donor not be on a vent as the drs usually don't remove them immediately after death. They are planned surgeries. Unless there is a rush for an organ, that is. Do they not do this anymore and, if not, why? Are the docs getting to the organ donors quickly after death? Hmmm. I can't see where cell death would not occur without oxygen circulating.",yes
"Alcohol-consumption favors thiamine defficiency. Alcohol withdrawal often happens in psychiatric hospitals, where patients are closely monitored. So, it's probably a statistical overrepresentation of alcoholics in withdrawal state, as they are monitored more closely.",no
"I like to know things like patient can be a raging cunt for no reason instead of being blindsided by it. If there are any family members that cause issues. Otherwise, why they're here, how they move/toilet and any issues you had on your shift that can affect me. The rest I can look up as I need to know.",no
I'm not a nurse but nearly all of my friends are. Every single one of them have told me a med error story. It happens to everyone. You did the right thing by reporting it and checking for allergies. This is going to stick in your mind the rest of your career and you'll be a better nurse because of it. From a chronically ill patient- thank you guys for everything you do!,no
"Yeah, like now where am I going to find a doctor who's willing to go ""eeny, meeny, miny, moe"" with my organs to determine which one he wants to remove?",yes
"I didn't realize that these procedures were done without sedation until reading about it on Reddit (didnt do any outpatient gyn as a med student) and was shocked that anyone would consider doing such invasive procedures without sedation or at least IV dialysis. Same thing with cystoscopy. Just out of control, frankly.",no
"Also, there are formal medicolegal definitions of what comprises a patient-physician relationship, and telling your spouse to take an OTC NSAID, regardless of your licensure status, does not qualify. This is some juvenile tehehe I could get a speeding ticket because I flew on an airplane going 250mph going over a stretch of I95 where the limit is 70 nonsense.",yes
"I was in a similar situation when I first started in 2022, albeit in family med. However, even with a doc not necessarily on site full time, there were still a handful of them a phone call away. The other thing to remember is, you're working in a low acuity outpatient setting. If anything ever seems off, no one will ever blame you if you call EMS. It rarely happens, but I have had to do it a couple times. So between your SP and EMS being able to respond in minutes, this should at least give you the peace of mind to go about your day and adjust to the new gig. There will always be a learning curve. Think of it as an opportunity to grow as a clinician. It's turned out to be great for me and my own medical decision making, personally. Also, it would be helpful to know some details about why the other PA quit. People leave jobs ALL the time in healthcare. Chasing sign on bonuses and whatnot. But high turnover at a particular office can also be a huge red flag. Do you know why they left? How long they had been with the practice? tldr don't let this turn you off before you even start. You always have the option of walking away, but it seems to me that it is far too early to make any conclusive decisions about this job. Barring any additional info anyway. Best of luck!",no
I really feel for that OR staff. How traumatizing to have watched all of that happen. This case is insane. He also accidently removed part of a pancreas from another patient instead of the right adrenal gland. Wild.,yes
"Welcome to the ED and thanks for asking this. I love learning. I was always vocal about that and being so meant a lot of docs would grab me to help with interesting things. Be open to letting those that are curious have opportunities to grow. It's a great opportunity to mentor if you're into that at all. Do your best to lead with kindness. Champion mental health for all of us, including you. Reassure the rookies with confidence, humor, and support. Communicate. Really important to stay in the loop when we're interacting much more with individual patients and families. Know when to ask for help and demand the same from your nurses. Good luck!",no
"I start working on the floor next week and im kinda nervous to start. I keep hearing about how my floor is kinda like the wild west of the hospital and if i can make it there, i can make it anywhere.. it's making me nervous about my performance as it's possible i can be let go if by end of orientation im not up to their standards and handling the full patient load. I was under the impression (during my interview) that id get 12 weeks orientation, but i just found out it's 6 weeks. It makes me nervy cuz at another hospital it's 8 weeks for the same ratio, but here is 2 weeks less??   I had clinicals in arizona where the ratio was 6pts to 1 nurse, so i thought i could handle 4 pts by end of my orientation. Now i just feel slightly scared after hearing those comments and everything. I kno that we all start somewhere, it just nerve wracking. I also do not want to be let go, so im going to try my best because i tried so hard to land this job. I desperately need this job to work out for me, i cannot go back to being unemployed. Anyways just dumping my thoughts here",yes
"I don't work in the OR, but reading the order of suspension makes it sound like they couldn't actually see what he was doing (especially considering the surgeon himself was apparently operating blind too),until he handed them a whole ass liver at the end. At that point the patient had been dead for 15 minutes already. This report doesn't say so, but *surely* multiple OR staff spoke up and reported this after the fact,right?!",yes
"Legit question, why? Because it's disingenuous and irresponsible to pretend that lexapro and dilaudid have identical risk profiles, whether for typical use or severity of withdrawal symptoms. SSRI's cause withdrawal too but you are ok with that? yes? Why wouldn't I be? SSRI withdrawal is far easier to prevent/taper than opioid withdrawal. And the morbidity from SSRI withdrawal is far less severe than with opioid withdrawal. now it's pounded into everyone's head that it's going to make everyone an addict. Agreed. MDs are too scared of opioids. But again not everyone that is on an opioid medication is misusing it Agree, and I never said they were. even if there is chemical dependence that is just the nature of some medications. And it is the nature of some medications that the *degree* of chemical dependence is far higher than it is with other meds. I think you've misread me as an opioid gatekeeper. When really my point was, you can't throw all dependencies into the same category and dismiss them or accept them on the same terms. Some patients are dependent on opioids in a negative way, others are dependent in a positive way (or at least in a neutral way). Replace ""opioids"" with ""SSRIs"" and that statement is still true. *However,* all the data we have (and our best understanding of neurochemical pathways), tells us that opioid dependence is much more *relatively* dangerous than SSRI dependence. Like i said, the more philosophical question of whether America is focused on the wrong dependencies, is entirely valid and worth discussing. But it's a different question from whether certain dependencies are more medically dangerous than others.",no
Some insurance company has my hospitalist group listed as infectious disease. We get calls everyday looking to set up care and have to tell them we're an inpatient medical group. Our coordinator has spent about 6 years attempting to fix this to no avail.,yes
"Part of the problem is that patients learn, and some of them have been trained that only a pain score of 7+ is taken seriously. Some hospital systems have rather rigid prescribing guidelines based on pain scores, where a score below 6 is not treated, and a 7 or 8 will get APAP. Then those patients go to a different hospital system and never rate their pain below a 7 because they want access to NSAIDs if they feel they need them.",yes
"wheels to imaging, sits in the control room while the study is performed, reads the study, does some procedure I have actually done that, when a patient is very unstable, and it's a weekend or holiday, and there's not much staff. I have never ever drawn labs on the floor (only in the trauma bay with a femoral stick) or looked at slides (other than a path rotation).",no
"NP never made it to med school, she did not go through the grueling and long weeding out process of undergrad, med school and residency for quality control and public safety. She did not pass the difficult tests. She did not do the 10 12 hr shifts for years straight in residency. She did not see enough cases under proper supervision. She did not have to do the hundreds of hours to maintain her medical license and board certifications every few years. She has not been tested and pass the mental endurance a physician has to pass. She's inferior in every way in regard to quality medical care a physician can provide.",yes
"Hypoglycemia is an immediate neurologic injury risk so not treating it to wait 30min to 1hr for thiamine is indeed an obviously bad idea. But having banana bags in the pyxis and starting it right away can nearly eliminate that malpractice risk too. Problem is shortages are constant on thiamine IV solutions... Bigger issue is not thinking of thiamine in a non-alcoholic patient that is malnourished (cancer, eating d/o, major weight loss/GI surgery).",no
"I understand that and respect that, but if I know I'm getting report from long-winded nurses, I will try to avoid them first, too. I also have years of experience where I will tell long-winded that I want the cut and dry basics, which helps speed things along. But that comes with experience to have the cajones to tell those people to abbreviate report. But you are right, where people take too long. But if you're going to pounce, tell me why. *Rncookiemaker,I got dibs for report to you first because long-winded RN has your other five patients.*",no
"This is a feature, not a bug. When insurers do not want more patients with a particular type of ailment they simply refuse to credential more providers in the hope that those patients will change plans.",no
"Yeah, it was awful. I'm pretty sure my patient thought I was going crazy. It is like my vision becomes tunneled. I can't think or say proper sentences. I'm in the process of finding a new prescriber right now. I'm just on the 20 mg. I'd love to bump it up.",no
"No, the bill rate is wildly inflated because if you overbill insurance pays you the max amount and you can bill the patient the rest. If you underbill, insurance pays you that amount and you lose x-extra amount. So to get the ""max"" money you always have to overbill. BEcause hospitals don't have these neat nice insurance agreements like you want.",no
"I think people wrongly believe that their ""pain"" needs to be exaggerated to get some attention or prioritization. Not making a statement about the system here - just speculating. I do not personally do this. I've had some pretty bad pain as of late but wouldn't classify it north of a 5 even though it is impacting sleep and scaring me as to what it is. When doctors or nurses clarify that 10/10 is the worst pain I've ever felt, the pain I'm there for is NEVER that bad (flipping in a golf cart several times down a mountain, breaking ribs in a rugby match, etc). But, I think a lot of people are responding to how impacted they are in the lives by whatever issue is at play. I suspect folks posing the question need to have some examples, like a 5 is when you miss the nail and hit your thumb wiht a hammer, or 3 is a wasp sting. When someone tells you their stomach pain is a 9 or 10, you say ok so this is you gearing up to give birth type of pain?",no
Or assess a patient ,no
"Admitting a transfer patient with an irate borderline belligerent mother, granted it was 2AM but the icu was out of beds and this patient was the most stable to transfer out so they could take a trauma. The mom complaining this is bullshit the doctor himself won't even come see me I'm reporting everybody there's no reason I don't care that somebody else needed his room they should have figured it out. Me knowing the doctor is 4 rooms over trying to keep a patient alive long enough to save the organs to be donated and the family to say goodbye, knowing that's why the doctor refused to tell her himself and why they needed the bed.",yes
I had a dayshift bully me into helping transfer a stable patient down to another unit. They have more staff than we had. They only wanted someone since the bed is difficult to steer. I was almost an hour late leaving the hospital and had an hour drive home. Like look if it was an emergency or the patient was unstable I'd get it. But that wasn't the case. I was so mad I cried half the way home.,yes
"I actually begged to be transferred to the pediatric side of the hospital because I'd had several hospital stays on that side and was never treated that way. Unfortunately my injuries and being so close to 18 made me an adult case, so I was just made to lay in my own bloody mess until that nurse came along. She actually made sure my linens got changed the same day by advocating for physical therapy to get me out of bed and it made me feel so much better in such a bad scenario. She was my first glimmer of hope in a dark time.",no
It never goes away. Nurses claim to save patients from doctors. But most nurses don't even know basic physiology.,yes
"This sounds very inappropriate for a new grad. Also stop being afraid to ask for help. That doc is there, ask every time. Sit down today with your superior and discuss this. You need more close training and mentorship. If this post is even real (sorry OP, when there's no post or comment history I question if this is made up by someone to repost on anti PA forums) - you need to immediately cry foul to protect your patients and your license, leaving if need be.",no
"assuming you only work inpatient? outpatient pain management has higher risk of consequences, i think.",no
"Minimum wage doesn't lend itself well to doctor shopping. The reason your disheveled patient may be agitated can easily be attributed to: literal pain, loss of time of work, having to arrange for travel. They are more likely to ""wait it out"". The office visit = gas, the medication = groceries. So to be to withstand so much before you seek care and the sacrifice you must make to present for medical care to be denied it arbitrarily based on the mood/bias of the doctor you see that day... I don't know how to not be in pain in America right now.",no
I don't get why it's confusing? One has less education and one has more? Like an NP Vs a physician.,no
"We had a guy a few years ago that was a no code but not officially hospice/CMO. He deteriorated very quickly and we were trying to call his sister (for decision making on short notice as she adamantly refused opioid analgesia and he was suffering at this point and badly needed it) and for hours she didn't answer. The guy died and when she finally called back an hour later and then came, she went ABSOLUTELY BAT SHIT over the fact that his face had been clean shaven. For reference he had a nasty ratty beard with mats and food and one of the techs during the day cut it all off for hygienic reasons. The patient was very rude and quite unpleasant when he was alive. His sister was more upset over his damn face being shaved then him dying ffs",yes
"I don't have advice but solidarity. I don't have near the experience you do, but know that your time is invaluable. I agree, nurses coming out of school don't understand the time it takes to fully understand the patient population. They expect sick patients right out of the gate. There is no patience anymore. I left the NICU because I moved states, I've tried serval different specialties for one reason or another and I've always found myself wanting to go back. I've had the sickest of the sick and I don't need that adrenaline rush anymore. I'm simply happy to have the feeder growers because there is no unit in any hospital like the NICU",no
This is why I really believe all nurses should start at the bottom and work their way up. I was a CNA first and I really think this opened my eyes to how skin ulcers and hygiene are very important. We can do better. Our patients deserve better. I can't imagine being in a bed helpless. I can't.,no
"Consider your sample bias. I'm sure there are folks in your institution like this, but likely far fewer. I practice in a rural area where the provider to patient ratio is 1:2,300 and so even the clinicians who do care simply don't have the time or ability to handle the zebras well or to afford the bedside manner that better ratios provide. I went to school in DC (GWU) which was a starkly contrasted experience that sounds more like what you're used to.",yes
"Agreed. My office is nicely nestled inside of our hospital and gives us access to almost immediate labs and imaging. We have one urgent care slot an hour for same day appointments so I feel like I've cross trained in both urgent care and family med. I'm sure once my patient panel grows to unreasonable limits that the urgent care visits will slow down, but it's nice to throw in a URI or two after seeing my cirrhosis and ESRD patients.",no
"I was told if the family stands at the bedside praying enough and yelling at the staff this is the likely outcome. Coma-- procedure or 1 dose of ten RIGHT med-- sleep -- happy, healthy patient. But it all depends on the amount of yelling the family does on their advocacy work. ",yes
"I worked on a med/surg floor for about 5 yrs. Saw a lot of admissions from nursing homes. It was never necessary to know which one they came from, from a medical point of view, but there were definitely a few facilities that became infamous for the condition the patient would be in. These patients were always the sickest, the dirtiest, untreated and undocumented bed sores and, possibly bed bugs or roaches. One facility even got the nickname ""Gateway to Heaven"" from staff because of the blatant lack of care their residents received.",yes
"Eh, toileting patients can be really time-consuming, and I don't expect docs to do that. It's also why I'll delegate it if able - I can start a couple of IVs and medicate someone in the time it takes grandma to pee.",no
"I stopped asking numbers as well. It's so hard to base pain on a numeric scale. I ask does it hurt really bad, if meds are ordered, which do you prefer, the lower or higher dose. A lot of my patients I've found don't want to over medicate so they will take that lower dose. It's probably unconventional but whatever.",no
